Data,Valore patrimoniale netto (USD)
15 maggio 2024,"$ 130,1678 USA"
14 maggio 2024,"$ 128,8874 USA"
13 maggio 2024,"$ 128,3994 USA"
10 maggio 2024,"$ 128,2654 USA"
9 maggio 2024,"$ 127,8309 USA"
08 maggio 2024,127.3238 $US
07 maggio 2024,127.5636 $US
06 maggio 2024,127.1769 $US
03 maggio 2024,126.1554 $ USA
02 maggio 2024,124.7151 $US
01 maggio 2024,123.6669 $US
30 aprile 2024,124.0198 $US
29 aprile 2024,125.4090 $US
26 aprile 2024,124.8786 $US
25 aprile 2024,123.7858 $US
24 aprile 2024,124.4427 $ USA
23 aprile 2024,124.2190 $ USA
22 aprile 2024,122.7921 $US
19 aprile 2024,121.7918 $US
18 aprile 2024,122.7538 $US
17 aprile 2024,122.6888 $US
16 aprile 2024,123.1667 $ USA
15 aprile 2024,124.1679 $ USA
12 aprile 2024,125.3981 $US
11 aprile 2024,126.8442 $US
10 aprile 2024,126.5075 $US
09 aprile 2024,127.5599 $US
08 aprile 2024,127.3549 $US
05 aprile 2024,127.0713 $US
04 aprile 2024,126.6023 $US
03 aprile 2024,127.2506 $ USA
02 aprile 2024,127.1259 $US
01 aprile 2024,127.7191 $US
28 marzo 2024,128.0882 $US
27 marzo 2024,127.9923 $US
26 marzo 2024,127.2643 $ USA
25 marzo 2024,127.4078 $US
22 marzo 2024,127.7266 $US
21 marzo 2024,128.0379 $US
20 marzo 2024,127.1642 $ USA
19 marzo 2024,126.4040 $US
18 marzo 2024,126.1048 $ USA
15 marzo 2024,$125.4555
14 marzo 2024,$ 126.2650 USD
13 marzo 2024,"$ 126,9909 USD"
12 marzo 2024,$ 127.0762 USD
11 marzo 2024,"$ 125,9745 USD"
8 marzo 2024,"$ 126,3948 USD"
7 marzo 2024,$ 126.6441 USD
6 marzo 2024,"$ 125,4522 USD"
5 marzo 2024,$ 124.7110 USD
4 marzo 2024,$ 125.6220 USD
1 marzo 2024,"$ 125,6630 USD"
29 febbraio 2024,$ 124.7216 USD
28 febbraio 2024,124.2005 dollari USA
27 febbraio 2024,$ 124.6184 USD
26 febbraio 2024,$ 124.3717 USD
23 febbraio 2024,$ 124.7100 USD
22 febbraio 2024,$ 124.5769 USD
21 febbraio 2024,"$ 122,5652 USD"
20 febbraio 2024,$ 122.6076 USD
19 febbraio 2024,"122,9605 USD"
16 febbraio 2024,"$ 122,8991 USD"
15 febbraio 2024,"$ 122,8895 USD"
14 febbraio 2024,"$ 121,9687 USD"
13 febbraio 2024,$121.1221
12 febbraio 2024,$ 122.4286 USD
9 febbraio 2024,$ 122.4364 USD
8 febbraio 2024,"$ 121,9589 USD"
7 febbraio 2024,"$ 121,9964 USD"
6 febbraio 2024,$ 121.2668 USD
5 febbraio 2024,"$ 120,6737 USD"
2 febbraio 2024,"$ 121,2147 USD"
1 febbraio 2024,$ 120.4579 USD
31 gennaio 2024,$ 119.7059 USD
30 gennaio 2024,$ 120.7477 USD
29 gennaio 2024,$ 120.8584 USD
26 gennaio 2024,$ 120.1302 USD
25 gennaio 2024,$ 120.0534 USD
24 gennaio 2024,"$ 119,6931 USD"
23 gennaio 2024,"$ 119,0645 USD"
22 gennaio 2024,"$ 118,9510 USD"
19 gennaio 2024,$ 118.5776 USD
18 gennaio 2024,$ 117.3976 USD
17 gennaio 2024,$ 116.6144 USD
16 gennaio 2024,"$ 117,7539 USD"
15 gennaio 2024,$ 118.6092 USD
12 gennaio 2024,$ 118.7331 USD
11 gennaio 2024,"$ 118,3225 USD"
10 gennaio 2024,$ 118.3827 USD
9 gennaio 2024,"$ 117,9475 USD"
8 gennaio 2024,$ 118.1904 USD
5 gennaio 2024,$ 117.1901 USD
4 gennaio 2024,"$ 116,9875 USD"
3 gennaio 2024,"$ 117,0094 USD"
2 gennaio 2024,$ 118.1554 USD
29 dicembre 2023,"$119,0020 USD"
28 dicembre 2023,$ 119.2693 USD
27 dicembre 2023,"$ 118,9913 USD"
26 dicembre 2023,$ 118.3744 USD
22 dicembre 2023,"$ 117,9672 USD"
21 dicembre 2023,"$ 117,7957 USD"
20 dicembre 2023,$ 117.0271 USD
19 dicembre 2023,$ 118.0479 USD
18 dicembre 2023,$ 117.3112 USD
15 dicembre 2023,$ 117.2149 USD
14 dicembre 2023,$ 117.1945 USD
13 dicembre 2023,$ 116.4011 USD
12 dicembre 2023,$115.3533
11 dicembre 2023,"$ 114,9383 USD"
8 dicembre 2023,"$ 114,6535 USD"
7 dicembre 2023,$ 114.3003 USA
6 dicembre 2023,"$ 113,7958 USD"
5 dicembre 2023,"$ 113,7981 USD"
dicembre 2023,114.0080 dollari USA
01 dicembre 2023,"114,4978 dollari USA"
30 novembre 2023,"113,9999 dollari USA"
29 novembre 2023,"113,6306 $US"
28 novembre 2023,"113,6117 dollari USA"
27 novembre 2023,"113,3485 dollari USA"
24 novembre 2023,"113,6049 dollari USA"
23 novembre 2023,"113,4721 dollari USA"
22 novembre 2023,"113,2770 dollari USA"
21 novembre 2023,"113,1705 dollari USA"
